comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
UgzR3ABWwxoMw2LzuHZ4AaABAg,@borismazabel2960,a ver si ganamos esos 10k jajaj 😁,2021-11-25T18:53:01Z,a ver si ganamos esos 10k jajaj,0.0,Neutral,"['ver', 'si', 'ganamos', 'esos', 'jajaj']",4
UgwmNTVzrPgkWoM7Yxl4AaABAg,@rallyglobal6973,I'm wait this in a Russia channel!,2021-11-25T18:52:58Z,i m wait this in a russia channel,0.0,Neutral,"['wait', 'russia', 'channel']",4
UgwIE8Fo0rxRDzF_lVd4AaABAg,@joecita51,Can I join the game  please.,2021-11-25T18:52:57Z,can i join the game please,-0.4,Negative,"['join', 'game', 'please']",1
Ugzs2eI_jHXpYAlWuCN4AaABAg,@nimrodcyst4670,"13:16 hey, space muncher where is my 10,000?",2021-11-25T18:52:56Z,13 16 hey space muncher where is my 10 000,0.0,Neutral,"['hey', 'space', 'muncher']",1
UgzjI5m1hsLcRTWwXEF4AaABAg,@betaSandhu,"I could really use those 10,000 dollars :)",2021-11-25T18:52:56Z,i could really use those 10 000 dollars,0.2,Positive,"['could', 'really', 'use', 'dollar']",0
Ugzz1Q4t_pg2yMky7bZ4AaABAg,@krewrainbow1216,I subscribed and liked,2021-11-25T18:52:56Z,i subscribed and liked,0.6,Positive,"['subscribe', 'like']",3
Ugxe2uRJnPo7VTGziPJ4AaABAg,@zayzayac5933,IVE BEEN WAITING FOR THIS,2021-11-25T18:52:55Z,ive been waiting for this,0.0,Neutral,['wait'],4
UgyQ80qVk3o1eknMI8F4AaABAg,@ST4Z1,I been playing brawl star for 40 days,2021-11-25T18:52:53Z,i been playing brawl star for 40 days,0.0,Neutral,"['play', 'brawl', 'star', 'day']",1
Ugxu0hsZKugieMNImCB4AaABAg,@brian.232,Now this 067 is the right one to simp for,2021-11-25T18:52:52Z,now this 067 is the right one to simp for,0.2857142857142857,Positive,"['right', 'one', 'simp']",3
Ugx6YpyAERthFkztiO14AaABAg,@siyatiwari6850,Woowwwww spot on.....,2021-11-25T18:52:51Z,woowwwww spot on,0.0,Neutral,"['woowwwww', 'spot']",4
UgzmMcL1yaC4uYly3uF4AaABAg,@Abbottiger,FLAMINGO,2021-11-25T18:52:50Z,flamingo,0.0,Neutral,['flamingo'],4
UgzHXYJObh8MQfjhMUJ4AaABAg,@فتحالدين-ز2ك,😂😂😂😂😂🤣🤣🤣🤑🤑🤑🤑,2021-11-25T18:52:49Z,,0.0,Neutral,[],0
Ugy8WZoWCCPeVhJb_1F4AaABAg,@luis-gameryt8802,"I came for my 10,000 dollars jsjsjsjs",2021-11-25T18:52:48Z,i came for my 10 000 dollars jsjsjsjs,0.0,Neutral,"['come', 'dollar', 'jsjsjsjs']",0
UgxbrQ_8NsFRmPNG_IZ4AaABAg,@maddiyeah7607,Damn 39.M  view in 21 hour this is dope man 🔥,2021-11-25T18:52:48Z,damn 39 m view in 21 hour this is dope man,0.0,Neutral,"['damn', 'view', 'hour', 'dope', 'man']",2
Ugy7zF9-hXcSxMEdOGZ4AaABAg,@nolancosta4889,Those sets were crazy accurate,2021-11-25T18:52:47Z,those sets were crazy accurate,-0.09999999999999995,Negative,"['set', 'crazy', 'accurate']",4
UgyDcHfxe4Xl1q3F6AV4AaABAg,@Emparial_nuggetz,Yo imagine if they jumped in the foam and then rolled off,2021-11-25T18:52:45Z,yo imagine if they jumped in the foam and then rolled off,0.0,Neutral,"['yo', 'imagine', 'jump', 'foam', 'roll']",2
UgwvJgHX30TPTpYQlUd4AaABAg,@anayissa7957,Would love to see the behind the scenes of how the sets were built!,2021-11-25T18:52:44Z,would love to see the behind the scenes of how the sets were built,0.04999999999999999,Positive,"['would', 'love', 'see', 'behind', 'scene', 'set', 'build']",2
UgzZRPqrE3asDdaWk9J4AaABAg,@jennasmith6867,Wow! Fantastic really enjoyed this 😀,2021-11-25T18:52:44Z,wow fantastic really enjoyed this,0.3333333333333333,Positive,"['wow', 'fantastic', 'really', 'enjoy']",0
Ugz6oELn4NW56yaAFYl4AaABAg,@pradeepkumar9363,I love squid games and mr beast too,2021-11-25T18:52:43Z,i love squid games and mr beast too,0.5,Positive,"['love', 'squid', 'game', 'mr', 'beast']",0
UgyCw0OhTjut_k1Ll_J4AaABAg,@monikablakely,"WHAT A REMAKE!!! Set, props, and everything❤️❤️❤️",2021-11-25T18:52:41Z,what a remake set props and everything,0.0,Neutral,"['remake', 'set', 'prop', 'everything']",4
UgxtOiygr0zIDX6o1_B4AaABAg,@necunoscut133,456 bro whi,2021-11-25T18:52:41Z,456 bro whi,0.0,Neutral,"['bro', 'whi']",1
Ugz8hhj9cSyO8wHA7hJ4AaABAg,@user-yu9nu1fp1m,24:39 Yo y los papus,2021-11-25T18:52:41Z,24 39 yo y los papus,0.0,Neutral,"['yo', 'los', 'papus']",2
UgxyRPuh2geKL72py5h4AaABAg,@kratisharma1859,This was crazy,2021-11-25T18:52:39Z,this was crazy,-0.6,Negative,['crazy'],1
UgwSfIhcu8XK4k9R4V14AaABAg,@alexasandaraoro1106,"""They're so dramatic "" lol",2021-11-25T18:52:39Z,they re so dramatic lol,0.18333333333333338,Positive,"['dramatic', 'lol']",4
UgxAJwC3-tkx2FJRLeJ4AaABAg,@EqpBeats,One of the dopest videos of all time!!,2021-11-25T18:52:38Z,one of the dopest videos of all time,0.0,Neutral,"['one', 'dop', 'video', 'time']",4
Ugy1ARZg0-gbilUt7jx4AaABAg,@Saystrapflap,I want in on the next squid game xD,2021-11-25T18:52:36Z,i want in on the next squid game xd,-0.2,Negative,"['want', 'next', 'squid', 'game', 'xd']",1
Ugz36qSRZ_HkAZmUbj94AaABAg,@Cristianoronaldo-uu9dy,for when in mrbeast in Spanish? please brooo,2021-11-25T18:52:35Z,for when in mrbeast in spanish please brooo,0.0,Neutral,"['mrbeast', 'spanish', 'please', 'brooo']",3
UgyeZRTkQSNV1n9nowt4AaABAg,@wills1111111111,Wow 🤩 the same on everything !,2021-11-25T18:52:34Z,wow the same on everything,0.05,Positive,"['wow', 'everything']",1
